INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
106	104	216755	1345378	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	879867	109380780	879867	109380780	879867	109380780	879867	109380780	879867	109380780	879867	109380780	879867	109380780	879867	109380780	879867	109380780	146645	27345195	821209	82035585	821209	82035585	219967	41017793	219967	41017793	821209	82035585	879867	109380780	975397	6054201	975397	6054201	975397	6054201	975397	6054201	975397	6054201	975397	6054201	975397	6054201	975397	6054201	975397	6054201	975397	6054201
107	105	236811	1378763	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	908493	111211066	908493	111211066	908493	111211066	908493	111211066	908493	111211066	908493	111211066	908493	111211066	908493	111211066	908493	111211066	151416	27802767	847926	83408300	847926	83408300	227123	41704150	227123	41704150	847926	83408300	908493	111211066	1065649	6204433	1065649	6204433	1065649	6204433	1065649	6204433	1065649	6204433	1065649	6204433	1065649	6204433	1065649	6204433	1065649	6204433	1065649	6204433
108	106	320000	1412532	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	943806	113089350	943806	113089350	943806	113089350	943806	113089350	943806	113089350	943806	113089350	943806	113089350	943806	113089350	943806	113089350	157301	28272338	880885	84817013	880885	84817013	235952	42408506	235952	42408506	880885	84817013	943806	113089350	1440000	6356394	1440000	6356394	1440000	6356394	1440000	6356394	1440000	6356394	1440000	6356394	1440000	6356394	1440000	6356394	1440000	6356394	1440000	6356394
109	107	320000	1446686	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	975606	115016536	975606	115016536	975606	115016536	975606	115016536	975606	115016536	975606	115016536	975606	115016536	975606	115016536	975606	115016536	162601	28754134	910565	86262402	910565	86262402	243902	43131201	243902	43131201	910565	86262402	975606	115016536	1440000	6510087	1440000	6510087	1440000	6510087	1440000	6510087	1440000	6510087	1440000	6510087	1440000	6510087	1440000	6510087	1440000	6510087	1440000	6510087
110	108	320000	1481222	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	1008123	116993520	1008123	116993520	1008123	116993520	1008123	116993520	1008123	116993520	1008123	116993520	1008123	116993520	1008123	116993520	1008123	116993520	168021	29248380	940914	87745140	940914	87745140	252031	43872570	252031	43872570	940914	87745140	1008123	116993520	1440000	6665499	1440000	6665499	1440000	6665499	1440000	6665499	1440000	6665499	1440000	6665499	1440000	6665499	1440000	6665499	1440000	6665499	1440000	6665499
111	109	320000	1516144	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	1041363	119021206	1041363	119021206	1041363	119021206	1041363	119021206	1041363	119021206	1041363	119021206	1041363	119021206	1041363	119021206	1041363	119021206	173561	29755302	971938	89265905	971938	89265905	260341	44632952	260341	44632952	971938	89265905	1041363	119021206	1440000	6822648	1440000	6822648	1440000	6822648	1440000	6822648	1440000	6822648	1440000	6822648	1440000	6822648	1440000	6822648	1440000	6822648	1440000	6822648
112	110	320000	1551449	358446	30275123	2007297	90825368	2007297	90825368	537670	45412684	537670	45412684	2007297	90825368	358446	30275123	2007297	90825368	2007297	90825368	537670	45412684	537670	45412684	2007297	90825368	358446	30275123	2007297	90825368	2007297	90825368	537670	45412684	537670	45412684	2007297	90825368	358446	30275123	2007297	90825368	2007297	90825368	537670	45412684	537670	45412684	2007297	90825368	358446	30275123	2007297	90825368	2007297	90825368	537670	45412684	537670	45412684	2007297	90825368	358446	30275123	2007297	90825368	2007297	90825368	537670	45412684	537670	45412684	2007297	90825368	358446	30275123	2007297	90825368	2007297	90825368	537670	45412684	537670	45412684	2007297	90825368	358446	30275123	2007297	90825368	2007297	90825368	537670	45412684	537670	45412684	2007297	90825368	358446	30275123	2007297	90825368	2007297	90825368	537670	45412684	537670	45412684	2007297	90825368	2150676	121100490	2150676	121100490	2150676	121100490	2150676	121100490	2150676	121100490	2150676	121100490	2150676	121100490	2150676	121100490	2150676	121100490	358446	30275123	2007297	90825368	2007297	90825368	537670	45412684	537670	45412684	2007297	90825368	2150676	121100490	1440000	6981520	1440000	6981520	1440000	6981520	1440000	6981520	1440000	6981520	1440000	6981520	1440000	6981520	1440000	6981520	1440000	6981520	1440000	6981520
113	111	320000	1587138	370018	30808069	2072100	92424207	2072100	92424207	555028	46212104	555028	46212104	2072100	92424207	370018	30808069	2072100	92424207	2072100	92424207	555028	46212104	555028	46212104	2072100	92424207	370018	30808069	2072100	92424207	2072100	92424207	555028	46212104	555028	46212104	2072100	92424207	370018	30808069	2072100	92424207	2072100	92424207	555028	46212104	555028	46212104	2072100	92424207	370018	30808069	2072100	92424207	2072100	92424207	555028	46212104	555028	46212104	2072100	92424207	370018	30808069	2072100	92424207	2072100	92424207	555028	46212104	555028	46212104	2072100	92424207	370018	30808069	2072100	92424207	2072100	92424207	555028	46212104	555028	46212104	2072100	92424207	370018	30808069	2072100	92424207	2072100	92424207	555028	46212104	555028	46212104	2072100	92424207	370018	30808069	2072100	92424207	2072100	92424207	555028	46212104	555028	46212104	2072100	92424207	2220108	123232276	2220108	123232276	2220108	123232276	2220108	123232276	2220108	123232276	2220108	123232276	2220108	123232276	2220108	123232276	2220108	123232276	370018	30808069	2072100	92424207	2072100	92424207	555028	46212104	555028	46212104	2072100	92424207	2220108	123232276	1440000	7142121	1440000	7142121	1440000	7142121	1440000	7142121	1440000	7142121	1440000	7142121	1440000	7142121	1440000	7142121	1440000	7142121	1440000	7142121
114	112	320000	1623211	381840	31354365	2138304	94063095	2138304	94063095	572760	47031548	572760	47031548	2138304	94063095	381840	31354365	2138304	94063095	2138304	94063095	572760	47031548	572760	47031548	2138304	94063095	381840	31354365	2138304	94063095	2138304	94063095	572760	47031548	572760	47031548	2138304	94063095	381840	31354365	2138304	94063095	2138304	94063095	572760	47031548	572760	47031548	2138304	94063095	381840	31354365	2138304	94063095	2138304	94063095	572760	47031548	572760	47031548	2138304	94063095	381840	31354365	2138304	94063095	2138304	94063095	572760	47031548	572760	47031548	2138304	94063095	381840	31354365	2138304	94063095	2138304	94063095	572760	47031548	572760	47031548	2138304	94063095	381840	31354365	2138304	94063095	2138304	94063095	572760	47031548	572760	47031548	2138304	94063095	381840	31354365	2138304	94063095	2138304	94063095	572760	47031548	572760	47031548	2138304	94063095	2291040	125417460	2291040	125417460	2291040	125417460	2291040	125417460	2291040	125417460	2291040	125417460	2291040	125417460	2291040	125417460	2291040	125417460	381840	31354365	2138304	94063095	2138304	94063095	572760	47031548	572760	47031548	2138304	94063095	2291040	125417460	1440000	7304449	1440000	7304449	1440000	7304449	1440000	7304449	1440000	7304449	1440000	7304449	1440000	7304449	1440000	7304449	1440000	7304449	1440000	7304449
115	113	320000	1659669	393916	31914237	2205924	95742710	2205924	95742710	590872	47871355	590872	47871355	2205924	95742710	393916	31914237	2205924	95742710	2205924	95742710	590872	47871355	590872	47871355	2205924	95742710	393916	31914237	2205924	95742710	2205924	95742710	590872	47871355	590872	47871355	2205924	95742710	393916	31914237	2205924	95742710	2205924	95742710	590872	47871355	590872	47871355	2205924	95742710	393916	31914237	2205924	95742710	2205924	95742710	590872	47871355	590872	47871355	2205924	95742710	393916	31914237	2205924	95742710	2205924	95742710	590872	47871355	590872	47871355	2205924	95742710	393916	31914237	2205924	95742710	2205924	95742710	590872	47871355	590872	47871355	2205924	95742710	393916	31914237	2205924	95742710	2205924	95742710	590872	47871355	590872	47871355	2205924	95742710	393916	31914237	2205924	95742710	2205924	95742710	590872	47871355	590872	47871355	2205924	95742710	2363490	127656946	2363490	127656946	2363490	127656946	2363490	127656946	2363490	127656946	2363490	127656946	2363490	127656946	2363490	127656946	2363490	127656946	393916	31914237	2205924	95742710	2205924	95742710	590872	47871355	590872	47871355	2205924	95742710	2363490	127656946	1440000	7468510	1440000	7468510	1440000	7468510	1440000	7468510	1440000	7468510	1440000	7468510	1440000	7468510	1440000	7468510	1440000	7468510	1440000	7468510
116	114	320000	1696510	406246	32487908	2274972	97463723	2274972	97463723	609368	48731861	609368	48731861	2274972	97463723	406246	32487908	2274972	97463723	2274972	97463723	609368	48731861	609368	48731861	2274972	97463723	406246	32487908	2274972	97463723	2274972	97463723	609368	48731861	609368	48731861	2274972	97463723	406246	32487908	2274972	97463723	2274972	97463723	609368	48731861	609368	48731861	2274972	97463723	406246	32487908	2274972	97463723	2274972	97463723	609368	48731861	609368	48731861	2274972	97463723	406246	32487908	2274972	97463723	2274972	97463723	609368	48731861	609368	48731861	2274972	97463723	406246	32487908	2274972	97463723	2274972	97463723	609368	48731861	609368	48731861	2274972	97463723	406246	32487908	2274972	97463723	2274972	97463723	609368	48731861	609368	48731861	2274972	97463723	406246	32487908	2274972	97463723	2274972	97463723	609368	48731861	609368	48731861	2274972	97463723	2437470	129951630	2437470	129951630	2437470	129951630	2437470	129951630	2437470	129951630	2437470	129951630	2437470	129951630	2437470	129951630	2437470	129951630	406246	32487908	2274972	97463723	2274972	97463723	609368	48731861	609368	48731861	2274972	97463723	2437470	129951630	1440000	7634295	1440000	7634295	1440000	7634295	1440000	7634295	1440000	7634295	1440000	7634295	1440000	7634295	1440000	7634295	1440000	7634295	1440000	7634295
117	115	320000	1733735	418834	33075604	2345464	99226812	2345464	99226812	628250	49613406	628250	49613406	2345464	99226812	418834	33075604	2345464	99226812	2345464	99226812	628250	49613406	628250	49613406	2345464	99226812	418834	33075604	2345464	99226812	2345464	99226812	628250	49613406	628250	49613406	2345464	99226812	418834	33075604	2345464	99226812	2345464	99226812	628250	49613406	628250	49613406	2345464	99226812	418834	33075604	2345464	99226812	2345464	99226812	628250	49613406	628250	49613406	2345464	99226812	418834	33075604	2345464	99226812	2345464	99226812	628250	49613406	628250	49613406	2345464	99226812	418834	33075604	2345464	99226812	2345464	99226812	628250	49613406	628250	49613406	2345464	99226812	418834	33075604	2345464	99226812	2345464	99226812	628250	49613406	628250	49613406	2345464	99226812	418834	33075604	2345464	99226812	2345464	99226812	628250	49613406	628250	49613406	2345464	99226812	2512998	132302416	2512998	132302416	2512998	132302416	2512998	132302416	2512998	132302416	2512998	132302416	2512998	132302416	2512998	132302416	2512998	132302416	418834	33075604	2345464	99226812	2345464	99226812	628250	49613406	628250	49613406	2345464	99226812	2512998	132302416	1440000	7801807	1440000	7801807	1440000	7801807	1440000	7801807	1440000	7801807	1440000	7801807	1440000	7801807	1440000	7801807	1440000	7801807	1440000	7801807
118	116	320000	1771344	431682	33677550	2417413	101032650	2417413	101032650	647522	50516325	647522	50516325	2417413	101032650	431682	33677550	2417413	101032650	2417413	101032650	647522	50516325	647522	50516325	2417413	101032650	431682	33677550	2417413	101032650	2417413	101032650	647522	50516325	647522	50516325	2417413	101032650	431682	33677550	2417413	101032650	2417413	101032650	647522	50516325	647522	50516325	2417413	101032650	431682	33677550	2417413	101032650	2417413	101032650	647522	50516325	647522	50516325	2417413	101032650	431682	33677550	2417413	101032650	2417413	101032650	647522	50516325	647522	50516325	2417413	101032650	431682	33677550	2417413	101032650	2417413	101032650	647522	50516325	647522	50516325	2417413	101032650	431682	33677550	2417413	101032650	2417413	101032650	647522	50516325	647522	50516325	2417413	101032650	431682	33677550	2417413	101032650	2417413	101032650	647522	50516325	647522	50516325	2417413	101032650	2590086	134710200	2590086	134710200	2590086	134710200	2590086	134710200	2590086	134710200	2590086	134710200	2590086	134710200	2590086	134710200	2590086	134710200	431682	33677550	2417413	101032650	2417413	101032650	647522	50516325	647522	50516325	2417413	101032650	2590086	134710200	1440000	7971048	1440000	7971048	1440000	7971048	1440000	7971048	1440000	7971048	1440000	7971048	1440000	7971048	1440000	7971048	1440000	7971048	1440000	7971048
119	117	320000	1809338	444794	34293972	2490840	102881915	2490840	102881915	667190	51440957	667190	51440957	2490840	102881915	444794	34293972	2490840	102881915	2490840	102881915	667190	51440957	667190	51440957	2490840	102881915	444794	34293972	2490840	102881915	2490840	102881915	667190	51440957	667190	51440957	2490840	102881915	444794	34293972	2490840	102881915	2490840	102881915	667190	51440957	667190	51440957	2490840	102881915	444794	34293972	2490840	102881915	2490840	102881915	667190	51440957	667190	51440957	2490840	102881915	444794	34293972	2490840	102881915	2490840	102881915	667190	51440957	667190	51440957	2490840	102881915	444794	34293972	2490840	102881915	2490840	102881915	667190	51440957	667190	51440957	2490840	102881915	444794	34293972	2490840	102881915	2490840	102881915	667190	51440957	667190	51440957	2490840	102881915	444794	34293972	2490840	102881915	2490840	102881915	667190	51440957	667190	51440957	2490840	102881915	2668758	137175886	2668758	137175886	2668758	137175886	2668758	137175886	2668758	137175886	2668758	137175886	2668758	137175886	2668758	137175886	2668758	137175886	444794	34293972	2490840	102881915	2490840	102881915	667190	51440957	667190	51440957	2490840	102881915	2668758	137175886	1440000	8142021	1440000	8142021	1440000	8142021	1440000	8142021	1440000	8142021	1440000	8142021	1440000	8142021	1440000	8142021	1440000	8142021	1440000	8142021
120	118	320000	1847714	458172	34925093	2565757	104775278	2565757	104775278	687256	52387639	687256	52387639	2565757	104775278	458172	34925093	2565757	104775278	2565757	104775278	687256	52387639	687256	52387639	2565757	104775278	458172	34925093	2565757	104775278	2565757	104775278	687256	52387639	687256	52387639	2565757	104775278	458172	34925093	2565757	104775278	2565757	104775278	687256	52387639	687256	52387639	2565757	104775278	458172	34925093	2565757	104775278	2565757	104775278	687256	52387639	687256	52387639	2565757	104775278	458172	34925093	2565757	104775278	2565757	104775278	687256	52387639	687256	52387639	2565757	104775278	458172	34925093	2565757	104775278	2565757	104775278	687256	52387639	687256	52387639	2565757	104775278	458172	34925093	2565757	104775278	2565757	104775278	687256	52387639	687256	52387639	2565757	104775278	458172	34925093	2565757	104775278	2565757	104775278	687256	52387639	687256	52387639	2565757	104775278	2749026	139700370	2749026	139700370	2749026	139700370	2749026	139700370	2749026	139700370	2749026	139700370	2749026	139700370	2749026	139700370	2749026	139700370	458172	34925093	2565757	104775278	2565757	104775278	687256	52387639	687256	52387639	2565757	104775278	2749026	139700370	1440000	8314713	1440000	8314713	1440000	8314713	1440000	8314713	1440000	8314713	1440000	8314713	1440000	8314713	1440000	8314713	1440000	8314713	1440000	8314713
121	119	320000	1886476	471818	35571139	2642180	106713417	2642180	106713417	707728	53356709	707728	53356709	2642180	106713417	471818	35571139	2642180	106713417	2642180	106713417	707728	53356709	707728	53356709	2642180	106713417	471818	35571139	2642180	106713417	2642180	106713417	707728	53356709	707728	53356709	2642180	106713417	471818	35571139	2642180	106713417	2642180	106713417	707728	53356709	707728	53356709	2642180	106713417	471818	35571139	2642180	106713417	2642180	106713417	707728	53356709	707728	53356709	2642180	106713417	471818	35571139	2642180	106713417	2642180	106713417	707728	53356709	707728	53356709	2642180	106713417	471818	35571139	2642180	106713417	2642180	106713417	707728	53356709	707728	53356709	2642180	106713417	471818	35571139	2642180	106713417	2642180	106713417	707728	53356709	707728	53356709	2642180	106713417	471818	35571139	2642180	106713417	2642180	106713417	707728	53356709	707728	53356709	2642180	106713417	2830908	142284556	2830908	142284556	2830908	142284556	2830908	142284556	2830908	142284556	2830908	142284556	2830908	142284556	2830908	142284556	2830908	142284556	471818	35571139	2642180	106713417	2642180	106713417	707728	53356709	707728	53356709	2642180	106713417	2830908	142284556	1440000	8489142	1440000	8489142	1440000	8489142	1440000	8489142	1440000	8489142	1440000	8489142	1440000	8489142	1440000	8489142	1440000	8489142	1440000	8489142
122	120	320000	1925621	485736	36232335	2720121	108697005	2720121	108697005	728604	54348503	728604	54348503	2720121	108697005	485736	36232335	2720121	108697005	2720121	108697005	728604	54348503	728604	54348503	2720121	108697005	485736	36232335	2720121	108697005	2720121	108697005	728604	54348503	728604	54348503	2720121	108697005	485736	36232335	2720121	108697005	2720121	108697005	728604	54348503	728604	54348503	2720121	108697005	485736	36232335	2720121	108697005	2720121	108697005	728604	54348503	728604	54348503	2720121	108697005	485736	36232335	2720121	108697005	2720121	108697005	728604	54348503	728604	54348503	2720121	108697005	485736	36232335	2720121	108697005	2720121	108697005	728604	54348503	728604	54348503	2720121	108697005	485736	36232335	2720121	108697005	2720121	108697005	728604	54348503	728604	54348503	2720121	108697005	485736	36232335	2720121	108697005	2720121	108697005	728604	54348503	728604	54348503	2720121	108697005	2914416	144929340	2914416	144929340	2914416	144929340	2914416	144929340	2914416	144929340	2914416	144929340	2914416	144929340	2914416	144929340	2914416	144929340	485736	36232335	2720121	108697005	2720121	108697005	728604	54348503	728604	54348503	2720121	108697005	2914416	144929340	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
123	121	320000	1925621	499928	36908907	2799596	110726720	2799596	110726720	749892	55363360	749892	55363360	2799596	110726720	499928	36908907	2799596	110726720	2799596	110726720	749892	55363360	749892	55363360	2799596	110726720	499928	36908907	2799596	110726720	2799596	110726720	749892	55363360	749892	55363360	2799596	110726720	499928	36908907	2799596	110726720	2799596	110726720	749892	55363360	749892	55363360	2799596	110726720	499928	36908907	2799596	110726720	2799596	110726720	749892	55363360	749892	55363360	2799596	110726720	499928	36908907	2799596	110726720	2799596	110726720	749892	55363360	749892	55363360	2799596	110726720	499928	36908907	2799596	110726720	2799596	110726720	749892	55363360	749892	55363360	2799596	110726720	499928	36908907	2799596	110726720	2799596	110726720	749892	55363360	749892	55363360	2799596	110726720	499928	36908907	2799596	110726720	2799596	110726720	749892	55363360	749892	55363360	2799596	110726720	2999568	147635626	2999568	147635626	2999568	147635626	2999568	147635626	2999568	147635626	2999568	147635626	2999568	147635626	2999568	147635626	2999568	147635626	499928	36908907	2799596	110726720	2799596	110726720	749892	55363360	749892	55363360	2799596	110726720	2999568	147635626	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
124	122	320000	1925621	514398	37601078	2880623	112803233	2880623	112803233	771596	56401616	771596	56401616	2880623	112803233	514398	37601078	2880623	112803233	2880623	112803233	771596	56401616	771596	56401616	2880623	112803233	514398	37601078	2880623	112803233	2880623	112803233	771596	56401616	771596	56401616	2880623	112803233	514398	37601078	2880623	112803233	2880623	112803233	771596	56401616	771596	56401616	2880623	112803233	514398	37601078	2880623	112803233	2880623	112803233	771596	56401616	771596	56401616	2880623	112803233	514398	37601078	2880623	112803233	2880623	112803233	771596	56401616	771596	56401616	2880623	112803233	514398	37601078	2880623	112803233	2880623	112803233	771596	56401616	771596	56401616	2880623	112803233	514398	37601078	2880623	112803233	2880623	112803233	771596	56401616	771596	56401616	2880623	112803233	514398	37601078	2880623	112803233	2880623	112803233	771596	56401616	771596	56401616	2880623	112803233	3086382	150404310	3086382	150404310	3086382	150404310	3086382	150404310	3086382	150404310	3086382	150404310	3086382	150404310	3086382	150404310	3086382	150404310	514398	37601078	2880623	112803233	2880623	112803233	771596	56401616	771596	56401616	2880623	112803233	3086382	150404310	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
125	123	320000	1925621	529146	38309074	2963217	114927222	2963217	114927222	793720	57463611	793720	57463611	2963217	114927222	529146	38309074	2963217	114927222	2963217	114927222	793720	57463611	793720	57463611	2963217	114927222	529146	38309074	2963217	114927222	2963217	114927222	793720	57463611	793720	57463611	2963217	114927222	529146	38309074	2963217	114927222	2963217	114927222	793720	57463611	793720	57463611	2963217	114927222	529146	38309074	2963217	114927222	2963217	114927222	793720	57463611	793720	57463611	2963217	114927222	529146	38309074	2963217	114927222	2963217	114927222	793720	57463611	793720	57463611	2963217	114927222	529146	38309074	2963217	114927222	2963217	114927222	793720	57463611	793720	57463611	2963217	114927222	529146	38309074	2963217	114927222	2963217	114927222	793720	57463611	793720	57463611	2963217	114927222	529146	38309074	2963217	114927222	2963217	114927222	793720	57463611	793720	57463611	2963217	114927222	3174876	153236296	3174876	153236296	3174876	153236296	3174876	153236296	3174876	153236296	3174876	153236296	3174876	153236296	3174876	153236296	3174876	153236296	529146	38309074	2963217	114927222	2963217	114927222	793720	57463611	793720	57463611	2963217	114927222	3174876	153236296	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
126	124	320000	1925621	544178	39033120	3047391	117099360	3047391	117099360	816266	58549680	816266	58549680	3047391	117099360	544178	39033120	3047391	117099360	3047391	117099360	816266	58549680	816266	58549680	3047391	117099360	544178	39033120	3047391	117099360	3047391	117099360	816266	58549680	816266	58549680	3047391	117099360	544178	39033120	3047391	117099360	3047391	117099360	816266	58549680	816266	58549680	3047391	117099360	544178	39033120	3047391	117099360	3047391	117099360	816266	58549680	816266	58549680	3047391	117099360	544178	39033120	3047391	117099360	3047391	117099360	816266	58549680	816266	58549680	3047391	117099360	544178	39033120	3047391	117099360	3047391	117099360	816266	58549680	816266	58549680	3047391	117099360	544178	39033120	3047391	117099360	3047391	117099360	816266	58549680	816266	58549680	3047391	117099360	544178	39033120	3047391	117099360	3047391	117099360	816266	58549680	816266	58549680	3047391	117099360	3265062	156132480	3265062	156132480	3265062	156132480	3265062	156132480	3265062	156132480	3265062	156132480	3265062	156132480	3265062	156132480	3265062	156132480	544178	39033120	3047391	117099360	3047391	117099360	816266	58549680	816266	58549680	3047391	117099360	3265062	156132480	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
127	125	320000	1925621	559494	39773442	3133160	119320325	3133160	119320325	839240	59660162	839240	59660162	3133160	119320325	559494	39773442	3133160	119320325	3133160	119320325	839240	59660162	839240	59660162	3133160	119320325	559494	39773442	3133160	119320325	3133160	119320325	839240	59660162	839240	59660162	3133160	119320325	559494	39773442	3133160	119320325	3133160	119320325	839240	59660162	839240	59660162	3133160	119320325	559494	39773442	3133160	119320325	3133160	119320325	839240	59660162	839240	59660162	3133160	119320325	559494	39773442	3133160	119320325	3133160	119320325	839240	59660162	839240	59660162	3133160	119320325	559494	39773442	3133160	119320325	3133160	119320325	839240	59660162	839240	59660162	3133160	119320325	559494	39773442	3133160	119320325	3133160	119320325	839240	59660162	839240	59660162	3133160	119320325	559494	39773442	3133160	119320325	3133160	119320325	839240	59660162	839240	59660162	3133160	119320325	3356958	159093766	3356958	159093766	3356958	159093766	3356958	159093766	3356958	159093766	3356958	159093766	3356958	159093766	3356958	159093766	3356958	159093766	559494	39773442	3133160	119320325	3133160	119320325	839240	59660162	839240	59660162	3133160	119320325	3356958	159093766	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294	1440000	8665294
